Centre ID,Zonal IIT,Centre Name,City
5028,IIT Bhubaneswar,RVS College of Engineering And Technology,Jamshedpur
5029,IIT Bhubaneswar,ION DIGITAL ZONE IDZ TUPUDANA 1,Ranchi
5030,IIT Bhubaneswar,ION DIGITAL ZONE IDZ TUPUDANA 2,Ranchi
5031,IIT Bhubaneswar,Ram Tahal Choudhary Institute of Technology RTCIT,Ranchi
5032,IIT Bhubaneswar,Arunuma Technical Services Pvt.Ltd,Ranchi
5033,IIT Bhubaneswar,Future Bright,Ranchi
5034,IIT Bhubaneswar,iON Digital Zone iDZ Harida,Balasore
5035,IIT Bhubaneswar,Raja Kishore Chandra Academy Of Technology,Balasore
5036,IIT Bhubaneswar,SMIT Degree Engineering College,Berhampur-Ganjam
5037,IIT Bhubaneswar,iON Digital Zone iDZ Khallikote College Area,Berhampur-Ganjam
5038,IIT Bhubaneswar,iON Digital Zone iDZ1 Patia,Bhubaneswar
5039,IIT Bhubaneswar,GITA Autonomous College,Bhubaneswar
5040,IIT Bhubaneswar,SBG Digital Center,Bhubaneswar
5041,IIT Bhubaneswar,Buddham Technology,Bhubaneswar
5042,IIT Bhubaneswar,Ganesh Institute Of Management Studies,Bhubaneswar
5043,IIT Bhubaneswar,Eglobetech India Private Limited,Bhubaneswar
5044,IIT Bhubaneswar,Jagannath Institute Of Engineering And Technology,Cuttack
5045,IIT Bhubaneswar,Dew Nexus Soft Tech Private Limited,Cuttack
5046,IIT Bhubaneswar,Government Polytechnic Jeypore,Jeypore
5047,IIT Bhubaneswar,Gopal Krishna College Of Engineering And Technology,Jeypore
5048,IIT Bhubaneswar,Jeypore College Of Pharmacy,Jeypore
5049,IIT Bhubaneswar,iON Digital Zone iDZ Sector 4,Rourkela
5050,IIT Bhubaneswar,iON Digital Zone iDZ Majhipali,Sambalpur
5051,IIT Bhubaneswar,iON Digital Zone iDZ Baraipali,Sambalpur
5052,IIT Bhubaneswar,iON Digital Zone iDZ Asansol,Asansol
5053,IIT Bhubaneswar,Murshidabad College Of Engineering And Technology,Baharampur
5054,IIT Bhubaneswar,Dr. Kalam Academy,Burdwan
5055,IIT Bhubaneswar,HATE KALAME SHIKSH KENDRA,Burdwan
5056,IIT Bhubaneswar,Sarthak Educational Trust,Durgapur
5057,IIT Bhubaneswar,Sanaka Educational Trust Group of Institutions,Durgapur
5058,IIT Bhubaneswar,iON Digital Zone iDZ Kalyani,Kalyani
5059,IIT Bhubaneswar,College Of Engineering & Management Kolaghat Purba,Medinipur
5060,IIT Bhubaneswar,Institute of Science and Technology,Kharagpur
5061,IIT Bhubaneswar,Salbani Institute Of Technology,Kharagpur
5062,IIT Bhubaneswar,TCS Gito Bitan 1,Kolkata
5063,IIT Bhubaneswar,TCS Gito Bitan 2,Kolkata
5064,IIT Bhubaneswar,TCS Gito Bitan 3,Kolkata
5065,IIT Bhubaneswar,TCS Gito Bitan 4,Kolkata
5066,IIT Bhubaneswar,TCS Gito Bitan 5,Kolkata
5067,IIT Bhubaneswar,TCS Gito Bitan 6,Kolkata
5068,IIT Bhubaneswar,iON Digital Zone iDZ Baruipur,Kolkata
5069,IIT Bhubaneswar,Alpha ICT Centre,Bokaro Steel City
5070,IIT Bhubaneswar,RR Technology,Bokaro Steel City
6001,IIT Madras,B.V.C Institute of Technology and Science,Amalapuram
6002,IIT Madras,Vishnu Institute of Technology,Bhimavaram
6003,IIT Madras,D.N.R. College of Engineering & Technology,Bhimavaram
6004,IIT Madras,Dantuluri Narayana Raju College Autonomous,Bhimavaram
6005,IIT Madras,Sreenivasa Institute of Technology and Management Studies,Chittoor
6006,IIT Madras,Siddhartha Quest CBSE School,Eluru
6007,IIT Madras,Eluru College of Engineering & Technology,Eluru
6008,IIT Madras,Gudlavalleru Engineering College,Gudlavalleru
6009,IIT Madras,Audisankara College of Engineering & Technology,Gudur
6010,IIT Madras,Narayana Engineering College Gudur,Gudur
6011,IIT Madras,Tirumala Engineering College Guntur,Guntur
6012,IIT Madras,Narasaraopeta Engineering College,Guntur
6013,IIT Madras,Malineni Lakshmaiah Womens Engineering College,Guntur
6014,IIT Madras,K.L University,Guntur
6015,IIT Madras,Malineni Perumallu Educational Society’s Group of Institutions,Guntur
6016,IIT Madras,Krishnaveni Engineering College For Women,Guntur
6017,IIT Madras,Priyadarshini Institute Of Technology & Management,Guntur
6018,IIT Madras,KKR and KSR Institute of Technology and Science,Guntur
6019,IIT Madras,Kallam Haranadhareddy Institute of Technology,Guntur
6020,IIT Madras,St.Marys Group of Institutions Guntur,Guntur
6021,IIT Madras,Balaji Information Technology,Guntur
6022,IIT Madras,iON Digital Zone iDZ Perecherla,Guntur
6023,IIT Madras,iON Digital Zone iDZ Challavaripalem,Guntur
6024,IIT Madras,Kandula Obul Reddy Memorial College of Engi- neering Kadapa,Kadapa
6025,IIT Madras,Srinivasa Institute of Technology & Science Kadapa,Kadapa
6026,IIT Madras,KSRM College of Engineering,Kadapa
